iter	RMSE
651	3.455622843
652	3.453552223
653	3.450939572
654	3.448295532
655	3.445616523
656	3.445006515
657	3.442400017
658	3.439345279
659	3.437511648
660	3.436029052
661	3.434038344
662	3.432717745
663	3.430513839
664	3.427818168
665	3.425429412
666	3.422469459
667	3.421502711
668	3.420054113
669	3.417405607
670	3.416242909
671	3.415465355
672	3.414170212
673	3.412129726
674	3.409201074
675	3.405623524
676	3.402851875
677	3.401183189
678	3.398647441
679	3.398284376
680	3.397627108
681	3.394415084
682	3.393986647
683	3.393811465
684	3.391008462
685	3.389595756
686	3.386259144
687	3.384705385
688	3.382271389
689	3.379492203
690	3.378387545
691	3.376726908
692	3.372330439
693	3.369681233
694	3.369135376
695	3.36636998
696	3.365517789
697	3.363261739
698	3.361761282
699	3.360291552
700	3.357881558
701	3.356092857
702	3.35353315
703	3.350883046
704	3.348995903
705	3.346140511
706	3.343609916
707	3.340997813
708	3.338221691
709	3.334812206
710	3.332785149
711	3.331259963
712	3.329475048
713	3.328382909
714	3.326079537
715	3.323858433
716	3.323431215
717	3.323038051
718	3.322878899
719	3.320686143
720	3.318021294
721	3.316619027
722	3.315633209
723	3.31476961
724	3.312492978
725	3.310267816
726	3.309537918
727	3.308188744
728	3.30673878
729	3.304615634
730	3.301978201
731	3.300134535
732	3.297832135
733	3.295101378
734	3.294993215
735	3.293765646
736	3.292904473
737	3.291324314
738	3.289736216
739	3.287519842
740	3.284771556
741	3.282497335
742	3.282083511
743	3.279298788
744	3.277936353
745	3.274993988
746	3.273541711
747	3.271754583
748	3.27160884
749	3.268616659
750	3.266117149
751	3.265308651
752	3.264481788
753	3.26302927
754	3.26117836
755	3.259668138
756	3.259310588
757	3.259065696
758	3.257007742
759	3.254968168
760	3.254867755
761	3.25463105
762	3.252761542
763	3.249566428
764	3.247254591
765	3.242933922
766	3.242174141
767	3.241856709
768	3.238796776
769	3.235019714
770	3.234775604
771	3.232827382
772	3.230561269
773	3.228750678
774	3.227286662
775	3.22690652
776	3.225660978
777	3.224467462
778	3.22371018
779	3.221358614
780	3.219054567
781	3.218141538
782	3.215893638
783	3.213293242
784	3.211868687
785	3.21077858
786	3.208677914
787	3.204431364
788	3.203851713
789	3.203277005
790	3.202433626
791	3.198842915
792	3.198078969
793	3.195875121
794	3.194898347
795	3.193631981
796	3.192516145
797	3.19102449
798	3.188418876
799	3.187185876
800	3.18692792
801	3.183521862
802	3.183182246
803	3.180990255
804	3.178369365
805	3.17820457
806	3.175694048
807	3.175096873
808	3.171110635
809	3.168985902
810	3.167157048
811	3.165102631
812	3.162689277
813	3.160277885
814	3.156488621
815	3.155563481
816	3.154171259
817	3.152897835
818	3.150067044
819	3.147743517
820	3.146989335
821	3.145491874
822	3.14428339
823	3.143238147
824	3.142779698
825	3.139967225
826	3.138835575
827	3.136345794
828	3.134063339
829	3.133967937
830	3.132371562
831	3.130883996
832	3.129464035
833	3.127231194
834	3.126148681
835	3.126064813
836	3.124695399
837	3.123608229
838	3.122149074
839	3.121770556
840	3.120631484
841	3.120409367
842	3.120215198
843	3.119753395
844	3.118153119
845	3.116896068
846	3.115380015
847	3.113816391
848	3.110736511
849	3.108748553
850	3.107852406
851	3.106644212
852	3.103079618
853	3.100655925
854	3.098231385
855	3.095866726
856	3.094127423
857	3.093923532
858	3.092599616
859	3.091036816
860	3.090012511
861	3.087581983
862	3.087255243
863	3.086847292
864	3.086769679
865	3.084678926
866	3.080319567
867	3.078126045
868	3.076576171
869	3.074467839
870	3.074364267
871	3.073031276
872	3.071584036
873	3.070300579
874	3.070083784
875	3.068981523
876	3.066141326
877	3.064795185
878	3.063073311
879	3.059127745
880	3.058513024
881	3.058084696
882	3.057836634
883	3.055878778
884	3.053920677
885	3.053003518
886	3.050098107
887	3.049932309
888	3.048557151
889	3.044959258
890	3.04268897
891	3.040264885
892	3.037208012
893	3.033877573
894	3.03094079
895	3.028120897
896	3.02627898
897	3.025464082
898	3.024133912
899	3.022642459
900	3.020206147
901	3.019737902
902	3.019329966
903	3.016443268
904	3.014148904
905	3.012084445
906	3.006647607
907	3.004254399
908	3.002700008
909	3.001429683
910	3.000119673
911	2.997932945
912	2.995038028
913	2.992527579
914	2.990468763
915	2.988840284
916	2.986279019
917	2.984885884
918	2.982717932
919	2.982307806
920	2.980244292
921	2.977546035
922	2.975803657
923	2.97313457
924	2.96914987
925	2.966210291
926	2.963068184
927	2.962966973
928	2.959795082
929	2.956536533
930	2.954485753
931	2.952433676
932	2.951148948
933	2.949978411
934	2.949641644
935	2.948224932
936	2.94552272
937	2.945274036
938	2.944966389
939	2.944020166
940	2.941502629
941	2.939886215
942	2.937321562
943	2.93683346
944	2.936233663
945	2.93511823
946	2.932230284
947	2.931220411
948	2.930106663
949	2.926908757
950	2.925609772
951	2.922989194
952	2.922584424
953	2.922046214
954	2.920513486
955	2.917933952
956	2.916675592
957	2.915818901
958	2.914299971
959	2.913680726
960	2.912762564
961	2.91218263
962	2.910644549
963	2.909296958
964	2.90727458
965	2.905306969
966	2.904512798
967	2.900760149
968	2.899910227
969	2.897832188
970	2.895933046
971	2.895313894
972	2.89455172
973	2.893622095
974	2.892740065
975	2.891228427
976	2.890980184
977	2.888652313
978	2.888119357
979	2.888032402
980	2.887214058
981	2.885308879
982	2.884161978
983	2.883492805
984	2.881833566
985	2.878825614
986	2.87793337
987	2.876133508
988	2.874031524
989	2.870997625
990	2.870297161
991	2.868569543
992	2.86801225
993	2.865576289
994	2.864416899
995	2.862653488
996	2.860896676
997	2.86081133
998	2.859308753
999	2.85885433
